Pays,Densité (P/Km2),Terre agricole (%),Superficie des terres (Km2),Taille des forces armées,Taux de natalité,Capitale / Ville principale,Émissions de CO2,IPC,Changement de l'IPC (%),Taux de fécondité,Superficie forestière (%),Prix de l'essence,PIB,Taux brut de scolarisation primaire (%),Taux brut de scolarisation tertiaire (%),Mortalité infantile,Plus grande ville,Espérance de vie,Ratio de mortalité maternelle,Salaire minimum,Langue officielle,Dépenses de santé à la charge du patient,Médecins pour mille,Participation à la force de travail (%),Recettes fiscales (%),Taux d'imposition total,Taux de chômage,Latitude,Longitude,Population Urbaine,Population,Continent
Honduras,89.0,29,112,23.0,21.6,Tegucigalpa,9.813,150.0,4,2.46,40,98.0,25095395475.0,92,26,15.1,Tegucigalpa,75.1,65.0,101.0,Spanish,49,0.31,69,17,39,5.39,15.199999,-86.241905,5626433.0,9746117.0,Amérique
Hongrie,107.0,58,93,40.0,9.6,Budapest,45.537,122.0,3,1.54,23,118.0,160967157504.0,101,48,3.6,Budapest,75.8,12.0,262.0,Hungarian,29,3.41,56,23,38,3.4,47.162494,19.503304,6999582.0,9769949.0,Europe
Islande,3.0,19,103,0.0,12.0,Reykjav,2.065,129.0,3,1.71,0,95.0,24188035739.0,100,72,1.5,Reykjav,82.7,4.0,0.0,Icelandic,17,4.08,75,23,32,2.84,64.963051,-19.020835,339110.0,361313.0,Europe
Inde,464.0,60,3.287.263,1362000.0,17.86,New Delhi,2.407.672,180.0,8,2.22,24,97.0,2611000000000.0,113,28,29.9,Kurebhar,69.4,145.0,30.0,Hindi,65,0.86,49,11,50,5.36,20.593684,78.96288,471031528.0,1366417754.0,Asie
Indonésie,151.0,32,1.904.569,676.0,18.07,Jakarta,563.325,151.0,3,2.31,50,63.0,1119190780753.0,106,36,21.1,Kalimantan,71.5,177.0,48.0,Indonesian,48,0.43,68,10,30,4.69,-0.789275,113.921327,151509724.0,270203917.0,Asie
Iran,52.0,28,1.648.195,563.0,18.78,Tehran,661.710,551.0,40,2.14,7,40.0,445345282123.0,111,68,12.4,Tehran,76.5,16.0,158.0,Persian,40,1.58,45,7,45,11.38,32.427908,53.688046,62509623.0,82913906.0,Asie
Irak,93.0,21,438,209.0,29.08,Baghdad,190.061,120.0,0,3.67,2,61.0,234094042939.0,109,16,22.5,Baghdad,70.5,79.0,124.0,Arabic,76,0.71,43,2,31,12.82,33.223191,43.679291,27783368.0,39309783.0,Asie
République d'Irlande,72.0,64,70,9.0,12.5,Dublin,37.711,107.0,1,1.75,11,137.0,388698711348.0,101,78,3.1,Connacht,82.3,5.0,1079.0,Irish,15,3.31,62,18,26,4.93,53.41291,-8.24389,3133123.0,5007069.0,Europe
Israël,400.0,25,21,178.0,20.8,Jerusalem,65.166,108.0,1,3.09,8,95.0,395098666122.0,105,63,3.0,Jerusalem,82.8,3.0,758.0,Hebrew,24,4.62,64,23,25,3.86,31.046051,34.851612,8374393.0,9053300.0,Asie
Italie,206.0,43,301,347.0,7.3,Rome,320.411,111.0,1,1.29,32,95.0,2001244392042.0,102,62,2.6,Rome,82.9,2.0,0.0,Italian,23,3.98,50,24,59,9.89,41.87194,12.56738,42651966.0,60297396.0,Europe
Jamaïque,273.0,41,11,4.0,16.1,"Kingston, Jamaica",8.225,162.0,4,1.98,31,111.0,16458071068.0,91,27,12.4,"Kingston, Jamaica",74.4,80.0,133.0,Jamaican English,24,1.31,66,27,35,8.0,18.109581,-77.297508,1650594.0,2948279.0,Amérique
Japon,347.0,12,378,261.0,7.4,Tokyo,1.135.886,105.0,0,1.42,68,106.0,5081769542380.0,99,63,1.8,Tokyo,84.2,5.0,677.0,Japonais,13,2.41,62,12,47,2.29,36.204824,138.252924,115782416.0,126226568.0,Asie
Jordanie,115.0,12,89,116.0,21.98,Amman,25.108,126.0,1,2.76,1,110.0,43743661972.0,82,34,13.9,Amman,74.4,46.0,149.0,Arabic,25,2.32,39,15,29,14.72,30.585164,36.238414,9213048.0,10101694.0,Asie
Kazakhstan,7.0,80,2.724.900,71.0,21.77,Astana,247.207,183.0,5,2.84,1,42.0,180161741180.0,104,62,8.8,Almaty,73.2,10.0,41.0,Russian,39,3.25,69,12,28,4.59,48.019573,66.923684,10652915.0,18513930.0,Asie
Kenya,94.0,48,580,29.0,28.75,Nairobi,17.910,181.0,5,3.49,8,95.0,95503088538.0,103,12,30.6,Nairobi,66.3,342.0,25.0,Swahili,33,0.16,75,15,37,2.64,-0.023559,37.906193,14461523.0,52573973.0,Afrique
Kiribati,147.0,42,811,0.0,27.89,South Tarawa,66,100.0,1,3.57,15,0.0,194647202.0,101,0,41.2,South Tarawa,68.1,92.0,0.0,English,0,0.2,0,22,33,0.0,1.8368976,-157.3768317,64489.0,117606.0,Océanie
Koweït,240.0,8,18,25.0,13.94,Kuwait City,98.734,127.0,1,2.08,0,35.0,134761198946.0,92,54,6.7,Kuwait City,75.4,12.0,95.0,Modern Standard Arabic,14,2.58,74,1,13,2.18,29.31166,47.481766,4207083.0,4207083.0,Asie
Kirghizistan,34.0,55,200,21.0,27.1,Bishkek,9.787,156.0,1,3.3,3,56.0,8454619608.0,108,41,16.9,Bishkek,71.4,60.0,9.0,Russian,48,1.88,60,18,29,6.33,41.20438,74.766098,2362644.0,6456900.0,Asie
Laos,32.0,10,237,129.0,23.55,Vientiane,17.763,136.0,3,2.67,82,93.0,18173839128.0,102,15,37.6,Vientiane,67.6,185.0,83.0,Lao,45,0.37,78,13,24,0.63,19.85627,102.495496,2555552.0,7169455.0,Asie
Lettonie,30.0,31,65,6.0,10.0,Riga,7.004,117.0,3,1.6,54,116.0,34117202555.0,99,88,3.3,Riga,74.7,19.0,280.0,Latvian,42,3.19,61,23,38,6.52,56.879635,24.603189,1304943.0,1912789.0,Europe
Liban,667.0,64,10,80.0,17.55,Beirut,24.796,130.0,3,2.09,13,74.0,53367042272.0,95,26,6.4,"Tripoli, Lebanon",78.9,29.0,215.0,Arabic,32,2.1,47,15,32,6.23,33.854721,35.862285,6084994.0,6855713.0,Asie
Lesotho,71.0,78,30,2.0,26.81,Maseru,2.512,156.0,5,3.14,2,70.0,2460072444.0,121,10,65.7,Maseru,53.7,544.0,41.0,English,17,0.07,68,32,14,23.41,-29.609988,28.233608,607508.0,2125268.0,Afrique
Libéria,53.0,28,111,2.0,33.04,Monrovia,1.386,223.0,24,4.32,43,80.0,3070518100.0,85,12,53.5,Monrovia,63.7,45.0,17.0,English,20,0.04,76,13,46,2.81,6.428055,-9.429499,2548426.0,4937374.0,Afrique
Libye,4.0,9,1.759.540,0.0,18.83,Tripoli,50.564,126.0,3,2.24,0,11.0,52076250948.0,109,60,10.2,Tripoli,72.7,72.0,188.0,Arabic,37,2.09,50,0,33,18.56,26.3351,17.228331,5448597.0,6777452.0,Afrique
Liechtenstein,238.0,32,160,0.0,9.9,Vaduz,51,0.0,0,1.44,43,95.0,6552858739.0,105,36,21.33280423280424,Schaan,83.0,0.0,0.0,German,0,0.0,0,0,22,0.0,47.1410392,9.520935,5464.0,38019.0,Europe
Lituanie,43.0,47,65,34.0,10.0,Vilnius,12.963,118.0,2,1.63,35,116.0,54219315600.0,104,72,3.3,Vilnius,75.7,8.0,241.0,Lithuanian,32,6.35,62,17,43,6.35,55.169438,23.881275,1891013.0,2786844.0,Europe
Luxembourg,242.0,54,3,2.0,10.3,Luxembourg City,8.988,115.0,2,1.37,36,119.0,71104919108.0,102,19,1.9,Luxembourg City,82.1,5.0,60.0,Luxembourgish,11,3.01,59,26,20,5.36,49.815273,6.129583,565488.0,645397.0,Europe
Madagascar,48.0,71,587,22.0,32.66,Antananarivo,3.905,184.0,6,4.08,21,111.0,14083906357.0,142,5,38.2,Antananarivo,66.7,335.0,21.0,French,22,0.18,86,10,38,1.76,-18.766947,46.869107,10210849.0,26969307.0,Afrique
Malawi,203.0,61,118,15.0,34.12,Lilongwe,1.298,418.0,9,4.21,33,115.0,7666704427.0,142,1,35.3,Lilongwe,63.8,349.0,12.0,English,11,0.04,77,17,34,5.65,-13.254308,34.301525,3199301.0,18628747.0,Afrique
Malaisie,99.0,26,330,136.0,16.75,Kuala Lumpur,248.289,121.0,1,2.0,68,45.0,364701517788.0,105,45,6.7,Johor Bahru,76.0,29.0,93.0,Malaysian language,37,1.51,64,12,39,3.32,4.210484,101.975766,24475766.0,32447385.0,Asie
Maldives,1.802,26,298,5.0,14.2,Mal,1.445,100.0,0,1.87,3,95.0,5729248472.0,97,31,7.4,Mal,78.6,53.0,0.0,Divehi,16,4.56,70,20,30,6.14,3.202778,73.22068,213645.0,530953.0,Asie
Mali,17.0,34,1.240.192,18.0,41.54,Bamako,3.179,109.0,-2,5.88,4,112.0,17510141171.0,76,4,62.0,Bamako,58.9,562.0,23.0,French,46,0.13,71,12,54,7.22,17.570692,-3.996166,8479688.0,19658031.0,Afrique
Malte,1.38,32,316,2.0,9.2,Valletta,1.342,113.0,2,1.23,1,136.0,14786156563.0,105,54,6.1,Birkirkara,82.3,6.0,507.0,Maltese,37,2.86,56,26,44,3.47,35.937496,14.375416,475902.0,502653.0,Europe
Îles Marshall,329.0,64,181,0.0,29.03,Majuro,143,0.0,0,4.05,70,144.0,221278000.0,85,24,27.4,Majuro,65.2,0.0,200.0,Marshallese,10,0.42,0,18,66,0.0,7.131474,171.184478,45514.0,58791.0,Océanie
Mauritanie,5.0,38,1.030.700,21.0,33.69,Nouakchott,2.739,135.0,2,4.56,0,113.0,7593752450.0,100,5,51.5,Nouakchott,64.7,45.0,53.0,Arabic,48,0.19,46,0,67,9.55,21.00789,-10.940835,2466821.0,4525696.0,Afrique
Maurice,626.0,42,2,3.0,10.2,Port Louis,4.349,130.0,0,1.41,19,112.0,14180444557.0,101,41,13.6,Port Louis,74.4,61.0,38.0,French,51,2.53,58,19,22,6.67,-20.348404,57.552152,515980.0,1265711.0,Afrique
Mexique,66.0,55,1.964.375,336.0,17.6,Mexico City,486.406,142.0,4,2.13,34,73.0,1258286717125.0,106,40,11.0,Mexico City,75.0,33.0,49.0,Espagnol,41,2.38,61,13,55,3.42,23.634501,-102.552784,102626859.0,126014024.0,Amérique
États fédérés de Micronésie,784.0,31,702,0.0,22.82,Palikir,143,112.0,0,3.05,92,0.0,401932279.0,97,14,25.6,Palikir,67.8,88.0,0.0,English,2,0.18,0,25,60,0.0,7.425554,150.550812,25963.0,113815.0,Océanie
Moldavie,123.0,74,34,7.0,10.1,Chi,5.115,166.0,5,1.26,13,80.0,11955435457.0,91,40,13.6,Chi,71.8,19.0,31.0,Romanian,46,3.21,43,18,39,5.47,47.411631,28.369885,1135502.0,2657637.0,Europe
Monaco,26.337,0,2,124.0,5.9,Monaco City,0,0.0,0,0.0,0,95.0,7184844193.0,0,0,2.6,Monaco City,72.27967914438503,0.0,1172.0,French,6,6.56,0,0,0,0.0,43.7384176,7.4246158,38964.0,38964.0,Europe
Mongolie,2.0,72,1.564.116,18.0,24.13,Ulaanbaatar,25.368,196.0,7,2.9,8,72.0,13852850259.0,104,66,14.0,Ulaanbaatar,69.7,45.0,65.0,Mongolian,39,2.86,60,17,26,6.01,46.862496,103.846656,2210626.0,3225167.0,Asie
Monténégro,47.0,19,14,12.0,11.73,Podgorica,2.017,116.0,3,1.75,62,116.0,5494736901.0,100,56,2.3,Podgorica,76.8,6.0,123.0,Montenegrin language,32,2.76,54,0,22,14.88,42.708678,19.37439,417765.0,622137.0,Europe
Maroc,83.0,68,447,246.0,18.94,Rabat,61.276,111.0,0,2.42,13,99.0,118725279596.0,114,36,19.2,Casablanca,76.5,70.0,160.0,Arabic,53,0.73,45,22,46,9.02,31.791702,-7.09262,22975026.0,36910560.0,Afrique
Mozambique,40.0,64,799,11.0,37.52,Maputo,7.943,182.0,3,4.85,48,65.0,14934159926.0,113,7,54.0,Maputo,60.2,289.0,27.0,Portuguese,7,0.08,78,0,36,3.24,-18.665695,35.529562,11092106.0,30366036.0,Afrique
Myanmar,83.0,20,677,513.0,17.55,Naypyidaw,25.280,168.0,9,2.15,44,54.0,76085852617.0,112,19,36.8,Yangon,66.9,250.0,39.0,Burmese,74,0.68,62,5,31,1.58,21.916221,95.955974,16674093.0,54045420.0,Asie
Namibie,3.0,47,824,16.0,28.64,Windhoek,4.228,158.0,4,3.4,8,76.0,12366527719.0,124,23,29.0,Windhoek,63.4,195.0,0.0,English,8,0.42,60,27,21,20.27,-22.95764,18.49041,1273258.0,2494530.0,Afrique
Nauru,541.0,0,21,0.0,20.214973544973542,Yaren District,0,0.0,0,0.0,0,0.0,133000000.0,0,0,21.33280423280424,Yaren,72.27967914438503,0.0,0.0,English,0,0.0,0,0,0,0.0,-0.522778,166.931503,22304543.215789475,10084.0,Océanie
Népal,203.0,29,147,112.0,19.89,Kathmandu,9.105,189.0,6,1.92,25,91.0,30641380604.0,142,12,26.7,Kathmandu,70.5,186.0,36.0,Nepali,60,0.75,84,21,42,1.41,28.394857,84.124008,5765513.0,28608710.0,Asie
Pays-Bas,508.0,53,42,41.0,9.7,Amsterdam,170.780,116.0,3,1.59,11,95.0,909070395161.0,104,85,3.3,Amsterdam,81.8,5.0,1029.0,Dutch,12,3.61,64,23,41,3.2,52.132633,5.291266,15924729.0,17332850.0,Europe
Nouvelle-Zélande,18.0,40,269,9.0,11.98,Wellington,34.382,114.0,2,1.71,39,140.0,206928765544.0,100,82,4.7,Auckland,81.9,9.0,1149.0,English,13,3.59,70,29,35,4.07,-40.900557,174.885971,4258860.0,4841000.0,Océanie
Nicaragua,55.0,42,130,12.0,20.64,Managua,5.592,163.0,5,2.4,26,91.0,12520915291.0,121,17,15.7,Managua,74.3,98.0,54.0,Spanish,36,0.98,66,16,61,6.84,12.865416,-85.207229,3846137.0,6545502.0,Amérique
Niger,19.0,36,1.267.000,10.0,46.08,Niamey,2.017,109.0,-2,6.91,1,88.0,12928145120.0,75,4,48.0,Niamey,62.0,509.0,29.0,French,52,0.04,72,12,47,0.47,17.607789,8.081666,3850231.0,23310715.0,Afrique
Nigeria,226.0,78,924,215.0,37.91,Abuja,120.369,268.0,11,5.39,7,46.0,448120428859.0,85,10,14.6,Lagos,54.3,45.0,54.0,English,72,0.38,53,2,35,8.1,9.081999,8.675277,102806948.0,200963599.0,Afrique
Corée du Nord,214.0,22,121,1125000.0,13.89,Pyongyang,28.284,0.0,0,1.9,41,58.0,32100000000.0,113,27,13.7,Pyongyang,72.1,89.0,0.0,Korean,0,3.67,80,0,0,2.74,40.339852,127.510093,15947412.0,25666161.0,Asie
Macédoine du Nord,83.0,0,26,10000.0,20.214973544973542,Skopje,0,0.0,0,0.0,0,0.0,10220781069.0,0,0,21.33280423280424,Skopje,72.27967914438503,0.0,0.0,Macedonian,36,0.0,0,0,0,0.0,41.608635,21.745275,22304543.215789475,1836713.0,Europe
Norvège,15.0,3,324,23.0,10.4,Oslo,41.023,120.0,2,1.56,33,95.0,403336363636.0,100,82,2.1,Oslo,82.8,2.0,0.0,Norwegian,14,2.92,64,24,36,3.35,60.472024,8.468946,4418218.0,5347896.0,Europe
Oman,16.0,5,310,47.0,19.19,Muscat,63.457,114.0,0,2.89,0,45.0,76983094928.0,103,38,9.8,Seeb,77.6,19.0,433.0,Arabic,6,2.0,72,2,27,2.67,21.4735329,55.975413,4250777.0,5266535.0,Asie
Pakistan,287.0,48,796,936.0,28.25,Islamabad,201.150,182.0,11,3.51,2,79.0,304400000000.0,94,9,57.2,Karachi,67.1,140.0,69.0,Urdu,66,0.98,53,9,34,4.45,30.375321,69.345116,79927762.0,216565318.0,Asie
Palaos,39.0,11,459,0.0,14.0,Ngerulmud,224,118.0,1,2.21,88,0.0,283994900.0,113,55,16.6,Koror,69.1,0.0,300.0,English,22,1.18,0,21,77,0.0,7.51498,134.58252,14491.0,18233.0,Océanie
Panama,58.0,30,75,26.0,18.98,Panama City,10.715,122.0,0,2.46,62,74.0,66800800000.0,94,48,13.1,Panama City,78.3,52.0,153.0,Spanish,30,1.57,67,0,37,3.9,8.537981,-80.782127,2890084.0,4246439.0,Amérique
Papouasie-Nouvelle-Guinée,20.0,3,463,4.0,27.07,Port Moresby,7.536,156.0,4,3.56,74,136.0,24969611435.0,108,2,38.0,Port Moresby,64.3,145.0,116.0,Tok Pisin,6,0.07,47,14,37,2.46,-6.314993,143.95555,1162834.0,8776109.0,Océanie
Paraguay,18.0,55,407,27.0,20.57,Asunci,7.407,144.0,3,2.43,38,104.0,38145288940.0,104,35,17.2,Ciudad del Este,74.1,129.0,155.0,Spanish,36,1.35,72,10,35,4.81,-23.442503,-58.443832,4359150.0,7044636.0,Amérique
Pérou,26.0,18,1.285.216,158.0,17.95,Lima,57.414,130.0,2,2.25,58,99.0,226848050820.0,107,71,11.1,Lima,76.5,88.0,128.0,Spanish,31,1.27,78,14,37,3.31,-9.189967,-75.015152,25390339.0,32510453.0,Amérique
Philippines,368.0,42,300,153.0,20.55,Manila,122.287,130.0,2,2.58,28,86.0,376795508680.0,108,36,22.5,Manila,71.1,121.0,112.0,English,54,0.6,60,14,43,2.15,12.879721,121.774017,50975903.0,108116615.0,Asie
Pologne,124.0,47,313,191.0,10.2,Warsaw,299.037,114.0,2,1.46,31,107.0,592164400688.0,100,68,3.8,Warsaw,77.6,2.0,293.0,Polish,23,2.38,57,17,41,3.47,51.919438,19.145136,22796574.0,37970874.0,Europe
Portugal,111.0,40,92,52.0,8.5,Lisbon,48.742,111.0,0,1.38,35,95.0,237686075635.0,106,64,3.1,Lisbon,81.3,8.0,378.0,Portuguese,28,5.12,59,23,40,6.33,39.399872,-8.224454,6753579.0,10269417.0,Europe
Qatar,248.0,6,12,22.0,9.54,Doha,103.259,115.0,-1,1.87,0,40.0,183466208791.0,104,18,5.8,Doha,80.1,9.0,0.0,Arabic,6,2.49,87,15,11,0.09,25.354826,51.183884,2809071.0,2832067.0,Asie
Roumanie,84.0,59,238,126.0,9.6,Bucharest,69.259,124.0,4,1.71,30,116.0,250077444017.0,85,49,6.1,Bucharest,75.4,19.0,225.0,Romanian,21,2.98,55,15,20,3.98,45.943161,24.96676,10468793.0,19356544.0,Europe
Russie,9.0,13,17.098.240,720000.0,11.5,Moscow,1.732.027,181.0,4,1.57,50,59.0,1699876578871.0,103,82,6.1,Moscow,72.7,17.0,53.0,Russian,36,4.01,62,11,46,4.59,61.52401,105.318756,107683889.0,144373535.0,Europe
Rwanda,525.0,73,26,35.0,31.7,Kigali,1.115,151.0,3,4.04,20,117.0,10122472590.0,133,7,27.0,Kigali,68.7,248.0,0.0,Swahili,26,0.13,84,14,33,1.03,-1.940278,29.873888,2186104.0,12626950.0,Afrique
Saint-Christophe-et-Niévès,205.0,23,261,0.0,12.6,Basseterre,238,105.0,-1,2.11,42,0.0,1050992593.0,109,87,9.8,Basseterre,71.3,0.0,333.0,English,57,2.52,0,18,50,0.0,17.357822,-62.782998,16269.0,52823.0,Amérique
Sainte-Lucie,301.0,17,616,0.0,12.0,Castries,414,110.0,2,1.44,33,130.0,2122450630.0,103,14,14.9,Castries,76.1,117.0,0.0,English,48,0.64,67,18,35,20.71,13.909444,-60.978893,34280.0,182790.0,Amérique
Saint-Vincent-et-les-Grenadines,284.0,26,389,0.0,14.24,Kingstown,220,110.0,2,1.89,69,0.0,825385185.0,113,24,14.8,Calliaqua,72.4,68.0,116.0,English,21,0.66,66,25,37,18.88,12.984305,-61.287228,58185.0,100455.0,Amérique
Samoa,70.0,12,3,0.0,24.38,Apia,246,118.0,1,3.88,60,91.0,850655017.0,110,8,13.6,Apia,73.2,43.0,78.0,Samoan,12,0.34,44,26,19,8.36,-13.759029,-172.104629,35588.0,202506.0,Océanie
Saint-Marin,566.0,17,61,70.0,6.8,City of San Marino,0,111.0,1,1.26,0,0.0,1637931034.0,108,42,1.7,City of San Marino,85.4,0.0,0.0,Italian,18,6.11,0,18,36,0.0,43.94236,12.457777,32969.0,33860.0,Europe
Sao Tomé et Principe,228.0,51,964,1.0,31.54,Sao,121,185.0,8,4.32,56,0.0,429016605.0,107,13,24.4,Sao,70.2,130.0,0.0,Portugais,12,0.05,58,15,37,13.37,19.092351475257733,20.23243448917525,158277.0,215056.0,Afrique
Arabie Saoudite,16.0,81,2.149.690,252.0,17.8,Riyadh,563.449,118.0,-1,2.32,0,24.0,792966838162.0,100,68,6.0,Riyadh,75.0,17.0,385.0,Arabic,15,2.61,56,9,16,5.93,23.885942,45.079162,28807838.0,34268528.0,Asie
Sénégal,87.0,46,197,19.0,34.52,Dakar,10.902,109.0,2,4.63,43,114.0,23578084052.0,81,13,31.8,Pikine,67.7,315.0,31.0,French,44,0.07,46,16,45,6.6,14.497401,-14.452362,7765706.0,16296364.0,Afrique
Serbie,100.0,39,77,32.0,9.2,Belgrade,45.221,144.0,2,1.49,31,116.0,51409167351.0,100,67,4.8,Belgrade,75.5,12.0,157.0,Serbian,41,3.11,55,19,37,12.69,44.016521,21.005859,3907243.0,6944975.0,Europe
Seychelles,214.0,3,455,0.0,17.1,"Victoria, Seychelles",605,130.0,2,2.41,88,0.0,1698843063.0,100,17,12.4,"Victoria, Seychelles",72.8,53.0,200.0,French,2,0.95,0,34,30,0.0,-4.679574,55.491977,55762.0,97625.0,Afrique
Sierra Leone,111.0,55,72,9.0,33.41,Freetown,1.093,234.0,15,4.26,43,108.0,3941474311.0,113,2,14.6,Freetown,54.3,45.0,57.0,English,38,0.03,58,9,31,4.43,8.460555,-11.779889,3319366.0,7813215.0,Afrique
Singapour,8.358,1,716,81.0,8.8,Singapour,37.535,114.0,1,1.14,23,125.0,372062527489.0,101,85,2.3,Singapour,83.1,8.0,0.0,Malay,37,2.29,70,13,21,4.11,1.352083,103.819836,5703569.0,5703569.0,Asie
Slovaquie,114.0,39,49,16.0,10.6,Bratislava,32.424,115.0,3,1.52,40,132.0,105422304976.0,99,47,4.6,Bratislava,77.2,5.0,311.0,Slovak,18,3.42,60,19,50,5.56,48.669026,19.699024,2930419.0,5454073.0,Europe
Slovénie,103.0,31,20,7600.0,9.4,Ljubljana,12.633,111.0,2,1.6,62,132.0,53742159517.0,100,79,1.7,Ljubljana,81.0,7.0,525.0,Slovene language,12,3.09,58,19,31,4.2,46.151241,14.995463,1144654.0,2087946.0,Europe
Îles Salomon,25.0,4,29,0.0,32.44,Honiara,169,133.0,2,4.4,78,0.0,1425074226.0,106,0,17.1,Honiara,72.8,104.0,40.0,English,3,0.19,84,30,32,0.58,-9.64571,160.156194,162164.0,669823.0,Océanie
Somalie,25.0,70,638,20.0,41.75,Mogadishu,645,0.0,0,6.07,10,141.0,4720727278.0,23,2,14.6,Bosaso,57.1,45.0,0.0,Arabic,0,0.02,47,0,0,11.35,5.152149,46.199616,7034861.0,15442905.0,Afrique
Afrique du Sud,49.0,80,1.219.090,80.0,20.51,Pretoria,476.644,159.0,4,2.41,8,92.0,351431649241.0,101,22,28.5,Johannesburg,63.9,119.0,0.0,Afrikaans,8,0.91,56,28,29,4.69,-30.559482,22.937506,39149717.0,58558270.0,Afrique
Corée du Sud,527.0,17,100,634.0,6.4,Seoul,620.302,115.0,0,0.98,63,122.0,2029000000000.0,98,94,2.7,Seoul,82.6,11.0,649.0,Korean,37,2.36,63,16,33,4.15,35.907757,127.766922,42106719.0,51709098.0,Asie
Soudan du Sud,18.0,0,644,185.0,35.01,Juba,1.727,4.584,188,4.7,0,28.0,11997800751.0,73,0,63.7,Juba,57.6,45.0,0.0,English,61,0.0,72,0,31,12.24,6.8769919,31.3069788,2201250.0,11062113.0,Afrique
Espagne,94.0,53,505,196.0,7.9,Madrid,244.002,111.0,1,1.26,37,126.0,1394116310769.0,103,89,2.5,Madrid,83.3,4.0,560.0,Spanish,24,3.87,58,14,47,13.96,40.463667,-3.74922,37927409.0,47076781.0,Europe
Sri Lanka,341.0,44,66,317.0,15.83,Colombo,23.362,156.0,4,2.2,33,88.0,84008783756.0,100,20,6.4,Colombo,76.8,36.0,35.0,Tamil,38,1.0,54,12,55,4.2,7.873054,80.771797,4052088.0,21803000.0,Asie
Soudan,25.0,29,1.861.484,124.0,32.18,Khartoum,20.000,1.344,51,4.41,8,95.0,18902284476.0,77,17,42.1,Omdurman,65.1,295.0,41.0,Arabic,63,0.26,48,8,45,16.53,12.862807,30.217636,14957233.0,42813238.0,Afrique
Suriname,4.0,1,164,2.0,18.54,Paramaribo,1.738,295.0,22,2.42,98,129.0,3985250737.0,109,13,16.9,Paramaribo,71.6,120.0,0.0,Dutch,10,1.21,51,20,28,7.33,3.919305,-56.027783,384258.0,581372.0,Amérique
Suède,25.0,7,450,30.0,11.4,Stockholm,43.252,111.0,2,1.76,69,142.0,530832908738.0,127,67,2.2,Stockholm,82.5,4.0,0.0,Swedish,15,3.98,65,28,49,6.48,60.128161,18.643501,9021165.0,10285453.0,Europe
Suisse,219.0,38,41,21.0,10.0,Bern,34.477,100.0,0,1.52,32,145.0,703082435360.0,105,60,3.7,Zurich,83.6,5.0,0.0,German,28,4.3,68,10,29,4.58,46.818188,8.227512,6332428.0,8574832.0,Europe
Syrie,95.0,76,185,239.0,23.69,Damascus,28.830,143.0,37,2.81,3,83.0,40405006007.0,82,40,14.0,Damascus,71.8,31.0,102.0,Arabic,54,1.22,44,14,43,8.37,34.802075,38.996815,9358019.0,17070135.0,Asie
Tadjikistan,68.0,34,144,17.0,30.76,Dushanbe,5.310,149.0,6,3.59,3,71.0,8116626794.0,101,31,30.4,Dushanbe,70.9,17.0,23.0,Persian,63,1.7,42,10,67,11.02,38.861034,71.276093,2545477.0,9321018.0,Asie
Tanzanie,67.0,45,947,28.0,36.7,Dodoma,11.973,187.0,4,4.89,52,87.0,63177068175.0,94,4,37.6,Dar es Salaam,65.0,524.0,9.0,Swahili,26,0.01,83,12,44,1.98,-6.369028,34.888822,20011885.0,58005463.0,Afrique
Thaïlande,137.0,43,513,455.0,10.34,Bangkok,283.763,113.0,1,1.53,32,71.0,543649976166.0,100,49,7.8,Bangkok,76.9,37.0,106.0,Thai,12,0.81,67,15,30,0.75,15.870032,100.992541,35294600.0,69625582.0,Asie
